QB1,QB31,QB4,QB7,QFV1,QFV2,HB1,HB31,HB7,HFV1,HFV2,3dHB1,3dHB31,3dHB7,3dHFV1,3dHFV2,1sHB1,1sHB31,1sHB7,1sHFV1,1sHFV2
16,5,14,5,10,4,807.89,779.42,784.64,776.99,781.11,807.91,779.48,784.84,776.99,781.71,807.97,779.61,784.84,776.99,781.71
16,5,14,5,10,4,807.79,779.37,784.84,778.69,781.61,807.9,779.45,784.84,776.99,781.71,807.95,779.58,784.84,776.99,781.71
16,5,14,5,10,4,809.74,779.37,785.04,778.89,781.81,807.89,779.42,781.54,776.89,778.71,807.94,779.54,784.84,776.99,781.71
16,5,14,5,10,4,807.74,779.37,785.04,778.89,781.81,807.89,779.42,784.64,776.99,781.11,807.93,779.51,784.84,776.99,781.71
16,5,14,5,10,4,807.69,779.17,787.24,779.79,782.71,807.79,779.37,784.84,778.69,781.61,807.91,779.48,784.84,776.99,781.71
16,5,14,5,10,4,807.69,779.17,787.24,779.79,782.71,809.74,779.37,785.04,778.89,781.81,807.9,779.45,784.84,776.99,781.71
16,5,14,5,13,4,807.69,779.17,787.54,779.99,782.91,807.74,779.37,785.04,778.89,781.81,807.89,779.42,781.54,776.89,778.71
16,5,14,5,13,4,807.89,779.12,787.74,778.39,783.21,807.69,779.17,787.24,779.79,782.71,807.89,779.42,784.64,776.99,781.11
16,5,14,5,13,4,807.99,779.07,788.44,778.49,783.31,807.69,779.17,787.24,779.79,782.71,807.79,779.37,784.84,778.69,781.61
16,5,14,5,13,4,807.99,779.07,788.64,778.69,783.61,807.69,779.17,787.54,779.99,782.91,809.74,779.37,785.04,778.89,781.81
16,5,14,5,13,4,807.99,779.07,788.64,778.69,783.61,807.89,779.12,787.74,778.39,783.21,807.74,779.37,785.04,778.89,781.81
16,5,14,5,13,4,808.39,779.57,789.24,778.99,784.21,807.99,779.07,788.44,778.49,783.31,807.69,779.17,787.24,779.79,782.71
16,5,14,5,13,4,808.39,779.57,789.24,778.99,784.21,807.99,779.07,788.64,778.69,783.61,807.69,779.17,787.24,779.79,782.71
16,5,14,5,13,4,808.59,779.57,789.34,778.99,784.31,807.99,779.07,788.64,778.69,783.61,807.69,779.17,787.54,779.99,782.91
16,5,14,5,13,4,808.59,779.57,789.34,778.99,784.31,808.39,779.57,789.24,778.99,784.21,807.89,779.12,787.74,778.39,783.21
16,5,14,5,13,4,808.69,779.62,789.44,778.99,784.41,808.39,779.57,789.24,778.99,784.21,807.99,779.07,788.44,778.49,783.31
16,5,14,5,13,4,808.69,779.77,789.74,779.09,784.71,808.59,779.57,789.34,778.99,784.31,807.99,779.07,788.64,778.69,783.61
16,5,14,5,13,4,808.69,779.77,789.74,779.09,784.71,808.59,779.57,789.34,778.99,784.31,807.99,779.07,788.64,778.69,783.61
16,5,14,5,13,4,808.69,780.12,790.24,779.79,785.21,808.69,779.62,789.44,778.99,784.41,808.39,779.57,789.24,778.99,784.21
16,5,14,5,13,4,808.69,780.12,790.24,779.79,785.21,808.69,779.77,789.74,779.09,784.71,808.39,779.57,789.24,778.99,784.21
16,5,14,5,13,4,808.69,780.17,790.29,779.79,785.31,808.69,779.77,789.74,779.09,784.71,808.59,779.57,789.34,778.99,784.31
16,5,14,9.1,13,4,808.59,780.22,790.44,779.94,785.51,808.69,780.12,790.24,779.79,785.21,808.59,779.57,789.34,778.99,784.31
16,5,14,5,13,4,808.59,780.27,790.59,779.99,785.71,808.69,780.12,790.24,779.79,785.21,808.69,779.62,789.44,778.99,784.41
16,5,14,5,13,4,808.69,780.27,791.94,780.04,785.91,808.69,780.17,790.29,779.79,785.31,808.69,779.77,789.74,779.09,784.71
16,5,14,5,13,4,808.69,780.27,791.94,780.04,785.91,808.59,780.22,790.44,779.94,785.51,808.69,779.77,789.74,779.09,784.71
16,5,14,0,13,4,808.59,780.22,793.64,780.79,786.41,808.59,780.27,790.59,779.99,785.71,808.69,780.12,790.24,779.79,785.21
16,5,14,0,13,4,808.59,780.22,793.64,780.79,786.41,808.69,780.27,791.94,780.04,785.91,808.69,780.12,790.24,779.79,785.21
16,5,14,0,13,4,808.59,780.22,793.64,780.79,786.41,808.69,780.27,791.94,780.04,785.91,808.69,780.17,790.29,779.79,785.31
16,5,14,9,13,0,809.29,780.77,793.64,781.59,790.41,808.59,780.22,793.64,780.79,786.41,808.59,780.22,790.44,779.94,785.51
16,5,14,9,13,0,809.29,780.77,790.14,781.59,790.41,808.59,780.22,793.64,780.79,786.41,808.59,780.27,790.59,779.99,785.71
16,5,14,9,13,0,809.29,780.77,790.14,781.59,790.41,808.59,780.22,793.64,780.79,786.41,808.69,780.27,791.94,780.04,785.91
16,5,14,9,13,0,809.29,780.77,790.14,781.59,790.41,809.29,780.77,793.64,781.59,790.41,808.69,780.27,791.94,780.04,785.91
16,5,14,9,13,0,809.29,780.77,790.14,781.59,790.41,809.29,780.77,790.14,781.59,790.41,808.59,780.22,793.64,780.79,786.41
12,5,14,9,13,0,809.29,780.77,790.14,781.59,790.41,809.29,780.77,790.14,781.59,790.41,808.59,780.22,793.64,780.79,786.41
16,5,14,9,13,0,809.29,780.77,790.14,781.59,790.41,809.29,780.77,790.14,781.59,790.41,808.59,780.22,793.64,780.79,786.41
16,5,14,9,13,4,809.24,780.77,789.64,781.59,787.51,809.29,780.77,790.14,781.59,790.41,809.29,780.77,793.64,781.59,790.41
16,5,14,9,13,4,809.29,780.72,789.24,781.39,787.31,809.29,780.77,790.14,781.59,790.41,809.29,780.77,790.14,781.59,790.41
16,5,14,9,13,4,809.29,780.77,789.04,781.29,787.41,809.29,780.77,790.14,781.59,790.41,809.29,780.77,790.14,781.59,790.41
16,5,14,9,13,4,809.19,780.97,788.84,781.29,787.31,809.24,780.77,789.64,781.59,787.51,809.29,780.77,790.14,781.59,790.41
16,5,14,9,13,4,809.19,780.87,788.84,781.29,787.31,809.29,780.72,789.24,781.39,787.31,809.29,780.77,790.14,781.59,790.41
16,5,14,9,13,4,809.19,780.97,788.84,781.29,787.31,809.29,780.77,789.04,781.29,787.41,809.29,780.77,790.14,781.59,790.41
16,5,14,9,13,4,809.19,781.02,788.54,781.29,787.26,809.19,780.97,788.84,781.29,787.31,809.29,780.77,790.14,781.59,790.41
16,5,14,9,13,4,809.19,781.02,788.44,781.24,787.21,809.19,780.87,788.84,781.29,787.31,809.24,780.77,789.64,781.59,787.51
16,5,14,9,13,4,809.39,781.12,788.14,781.24,787.11,809.19,780.97,788.84,781.29,787.31,809.29,780.72,789.24,781.39,787.31
16,5,14,9,13,4,809.49,781.17,787.94,781.19,787.06,809.19,781.02,788.54,781.29,787.26,809.29,780.77,789.04,781.29,787.41
16,5,14,9,13,4,809.49,781.17,787.94,781.19,787.06,809.19,781.02,788.44,781.24,787.21,809.19,780.97,788.84,781.29,787.31
16,5,14,9,13,4,809.29,780.32,787.34,780.99,786.86,809.39,781.12,788.14,781.24,787.11,809.19,780.87,788.84,781.29,787.31
16,5,14,9,13,4,809.29,780.32,787.34,780.99,786.86,809.49,781.17,787.94,781.19,787.06,809.19,780.97,788.84,781.29,787.31
16,5,14,9,13,4,809.24,780.37,787.14,780.94,786.81,809.49,781.17,787.94,781.19,787.06,809.19,781.02,788.54,781.29,787.26
16,5,14,9,13,4,809.24,781.47,787.04,780.89,786.76,809.29,780.32,787.34,780.99,786.86,809.19,781.02,788.44,781.24,787.21
16,5,14,9,13,4,809.24,781.47,786.94,780.79,786.61,809.29,780.32,787.34,780.99,786.86,809.39,781.12,788.14,781.24,787.11
16,5,14,9,13,4,809.29,781.57,787.04,780.84,786.81,809.24,780.37,787.14,780.94,786.81,809.49,781.17,787.94,781.19,787.06
16,5,14,9,13,4,809.29,781.57,787.04,780.84,786.81,809.24,781.47,787.04,780.89,786.76,809.49,781.17,787.94,781.19,787.06
16,5,14,9,13,6,809.39,781.57,786.84,780.69,784.41,809.24,781.47,786.94,780.79,786.61,809.29,780.32,787.34,780.99,786.86
16,5,14,9,13,6,809.39,781.57,786.84,780.69,784.41,809.29,781.57,787.04,780.84,786.81,809.29,780.32,787.34,780.99,786.86
16,5,14,9,13,6,809.39,781.57,786.94,780.64,784.41,809.29,781.57,787.04,780.84,786.81,809.24,780.37,787.14,780.94,786.81
16,5,14,9,13,6,809.59,781.57,787.04,780.64,784.41,809.39,781.57,786.84,780.69,784.41,809.24,781.47,787.04,780.89,786.76
16,5,14,9,13,6,809.64,781.57,787.04,780.64,784.41,809.39,781.57,786.84,780.69,784.41,809.24,781.47,786.94,780.79,786.61
16,5,14,9,13,6,809.99,782.27,787.14,780.69,784.51,809.39,781.57,786.94,780.64,784.41,809.29,781.57,787.04,780.84,786.81
16,5,14,9,13,6,809.99,782.27,787.14,780.69,784.51,809.59,781.57,787.04,780.64,784.41,809.29,781.57,787.04,780.84,786.81
16,5,14,9,13,6,809.99,782.27,787.14,780.69,784.51,809.64,781.57,787.04,780.64,784.41,809.39,781.57,786.84,780.69,784.41
16,5,14,9,13,6,809.99,782.27,787.14,780.69,784.51,809.99,782.27,787.14,780.69,784.51,809.39,781.57,786.84,780.69,784.41
16,5,14,9,13,6,809.99,782.27,787.14,780.64,784.51,809.99,782.27,787.14,780.69,784.51,809.39,781.57,786.94,780.64,784.41
16,5,14,9,13,6,809.99,782.37,787.24,780.59,784.51,809.99,782.27,787.14,780.69,784.51,809.59,781.57,787.04,780.64,784.41
16,5,14,9,13,6,810.19,782.37,787.24,780.59,784.66,809.99,782.27,787.14,780.69,784.51,809.64,781.57,787.04,780.64,784.41
16,5,14,9,13,6,810.39,782.47,787.24,780.54,784.71,809.99,782.27,787.14,780.64,784.51,809.99,782.27,787.14,780.69,784.51
